Gene,Module
MYO5A,c1_306
MYO5A,c1_3
MYO5A,c1_89
MYO5A,c1_15
MYO5A,c1_719
VXN,c1_16
VXN,c1_4
VXN,c1_174
VXN,c1_520
ARL8B,c1_17
ARL8B,c1_4
ARL8B,c1_548
ARL8B,c1_184
ARL8B,c1_918
NT5DC2,c1_40
NT5DC2,c1_2
NT5DC2,c1_636
NT5DC2,c1_221
NT5DC2,c1_6
ATP1A2,c1_684
ATP1A2,c1_81
ATP1A2,c1_276
ATP1A2,c1_14
ATP1A2,c1_3
BMP3,c1_15
BMP3,c1_3
BMP3,c1_115
BMP3,c1_788
BMP3,c1_390
ATP6V1B2,c1_803
ATP6V1B2,c1_403
ATP6V1B2,c1_15
ATP6V1B2,c1_122
ATP6V1B2,c1_1097
ATP6V1B2,c1_3
HIVEP2,c1_4
HIVEP2,c1_532
HIVEP2,c1_178
HIVEP2,c1_16
CPSF6,c1_560
CPSF6,c1_17
CPSF6,c1_4
CPSF6,c1_184
EHD3,c1_3
EHD3,c1_95
EHD3,c1_733
EHD3,c1_324
EHD3,c1_15
TMEM176A,c1_725
TMEM176A,c1_15
TMEM176A,c1_3
TMEM176A,c1_90
TMEM176A,c1_308
GNL3L,c1_365
GNL3L,c1_15
GNL3L,c1_3
GNL3L,c1_105
IDH2,c1_6
IDH2,c1_2
IDH2,c1_229
IDH2,c1_42
RPH3A,c1_15
RPH3A,c1_99
RPH3A,c1_333
RPH3A,c1_3
ALDH2,c1_2
ALDH2,c1_246
ALDH2,c1_10
ALDH2,c1_68
KLC2,c1_750
KLC2,c1_3
KLC2,c1_102
KLC2,c1_15
KLC2,c1_351
AIF1,c1_90
AIF1,c1_308
AIF1,c1_15
AIF1,c1_3
AIF1,c1_725
RAB6B,c1_3
RAB6B,c1_15
RAB6B,c1_351
RAB6B,c1_750
RAB6B,c1_102
TSHZ3,c1_16
TSHZ3,c1_171
TSHZ3,c1_4
TSHZ3,c1_505
DGKZ,c1_15
DGKZ,c1_85
DGKZ,c1_3
RTN4R,c1_819
RTN4R,c1_3
RTN4R,c1_126
RTN4R,c1_415
RTN4R,c1_15
CYP26C1,c1_3
CYP26C1,c1_15
CYP26C1,c1_298
CYP26C1,c1_87
SOSTDC1,c1_637
SOSTDC1,c1_2
SOSTDC1,c1_40
SOSTDC1,c1_221
SOSTDC1,c1_6
RASAL1,c1_589
RASAL1,c1_4
RASAL1,c1_17
RASAL1,c1_186
RASAL1,c1_978
RASAL1,c1_1155
ATP1B1,c1_703
ATP1B1,c1_291
ATP1B1,c1_3
ATP1B1,c1_15
ATP1B1,c1_86
A3GALT2,c1_714
A3GALT2,c1_299
A3GALT2,c1_87
A3GALT2,c1_15
A3GALT2,c1_3
RALGAPA1,c1_184
RALGAPA1,c1_17
RALGAPA1,c1_551
RALGAPA1,c1_4
FLNA,c1_593
FLNA,c1_186
FLNA,c1_4
FLNA,c1_17
OLFM1,c1_959
OLFM1,c1_17
OLFM1,c1_186
OLFM1,c1_1143
OLFM1,c1_582
OLFM1,c1_4
PRKAR1B,c1_107
PRKAR1B,c1_3
PRKAR1B,c1_15
PRKAR1B,c1_370
EFHC1,c1_6
EFHC1,c1_223
EFHC1,c1_2
EFHC1,c1_41
SYN1,c1_3
SYN1,c1_366
SYN1,c1_767
SYN1,c1_106
SYN1,c1_15
ADCY5,c1_17
ADCY5,c1_187
ADCY5,c1_599
ADCY5,c1_4
ADCY5,c1_1000
C7,c1_6
C7,c1_221
C7,c1_40
C7,c1_2
C7,c1_636
PPP1CB,c1_184
PPP1CB,c1_926
PPP1CB,c1_17
PPP1CB,c1_554
PPP1CB,c1_4
PAQR6,c1_3
PAQR6,c1_14
PAQR6,c1_273
PAQR6,c1_80
PAQR6,c1_678
STXBP1,c1_768
STXBP1,c1_366
STXBP1,c1_15
STXBP1,c1_106
STXBP1,c1_3
R3HDM2,c1_526
R3HDM2,c1_4
R3HDM2,c1_175
R3HDM2,c1_891
R3HDM2,c1_16
DGKB,c1_387
DGKB,c1_114
DGKB,c1_15
DGKB,c1_3
ARHGAP33,c1_15
ARHGAP33,c1_840
ARHGAP33,c1_3
ARHGAP33,c1_448
ARHGAP33,c1_142
BTRC,c1_3
BTRC,c1_15
BTRC,c1_308
BTRC,c1_90
GRIN2A,c1_15
GRIN2A,c1_3
GRIN2A,c1_93
GRIN2A,c1_317
HUWE1,c1_3
HUWE1,c1_130
HUWE1,c1_1102
HUWE1,c1_425
HUWE1,c1_824
HUWE1,c1_15
CARNS1,c1_1070
CARNS1,c1_14
CARNS1,c1_667
CARNS1,c1_261
CARNS1,c1_79
CARNS1,c1_3
NUP210,c1_982
NUP210,c1_1157
NUP210,c1_186
NUP210,c1_590
NUP210,c1_4
NUP210,c1_17
PLXNB1,c1_81
PLXNB1,c1_3
PLXNB1,c1_14
PLXNB1,c1_277
INPP5D,c1_16
INPP5D,c1_512
INPP5D,c1_873
INPP5D,c1_4
INPP5D,c1_172
PRKCG,c1_1147
PRKCG,c1_186
PRKCG,c1_4
PRKCG,c1_584
PRKCG,c1_17
PRKCG,c1_961
CDH7,c1_1015
CDH7,c1_4
CDH7,c1_1173
CDH7,c1_17
CDH7,c1_606
CDH7,c1_188
SLCO1A2,c1_221
SLCO1A2,c1_2
SLCO1A2,c1_6
SLCO1A2,c1_636
SLCO1A2,c1_40
KMT2A,c1_5
KMT2A,c1_196
KMT2A,c1_21
PPP3CB,c1_358
PPP3CB,c1_1091
PPP3CB,c1_104
PPP3CB,c1_3
PPP3CB,c1_15
PPP3CB,c1_756
SYNDIG1L,c1_4
SYNDIG1L,c1_187
SYNDIG1L,c1_999
SYNDIG1L,c1_599
SYNDIG1L,c1_17
FLRT3,c1_1173
FLRT3,c1_17
FLRT3,c1_188
FLRT3,c1_1015
FLRT3,c1_4
FLRT3,c1_606
COL9A3,c1_64
COL9A3,c1_2
COL9A3,c1_9
RPS3A,c1_184
RPS3A,c1_4
RPS3A,c1_911
RPS3A,c1_546
RPS3A,c1_17
STXBP6,c1_3
STXBP6,c1_373
STXBP6,c1_108
STXBP6,c1_15
ABHD4,c1_3
ABHD4,c1_82
ABHD4,c1_14
TNFRSF21,c1_961
TNFRSF21,c1_584
TNFRSF21,c1_1147
TNFRSF21,c1_17
TNFRSF21,c1_186
TNFRSF21,c1_4
LENG8,c1_632
LENG8,c1_5
LENG8,c1_22
LENG8,c1_198
NCALD,c1_4
NCALD,c1_16
NCALD,c1_881
NCALD,c1_174
NCALD,c1_519
TF,c1_253
TF,c1_11
TF,c1_72
